,idioma
0,"HIV, AIDS and #MONKEYPOX ALL STEM FROM ONE COMMUNITY.. AND ITS THE GAY COMMUNITY.. #ISUPK #TalkThatTalk #BibleBuild #mondaythoughts"
1,"Let's hope it's closer to 2 weeks and our smallpox vaccinated population is at least somewhat resistant. Troubling either way. Monkeypox is on the rise.  

#monkeypox #MonkeypoxVirus https://t.co/9qB5rqptb6"
2,"IMPEDIAMO A QUESTI INFAMI CRIMINALI N4ZIST! DI METTERE LE MANI SUI BAMBINI, LI STANNO AMMAZZANDO AVENDO APPROVATO I V4X DOPO I 6 MESI DI VITA.
SALVIAMO I BIMBI.
#ViVi E LOTTA PER CONTRO QUESTO V4XGEN0CIDI0!
#Covid_19 #monkeypox #Agenda2030 .
https://t.co/C43yhO3XQK https://t.co/Lwm0kcubaT https://t.co/eyTuQhqlIf"
3,".@preglias IL VAI0L0 È LA NUOVA TRUFFA USATA PER STERMINARCI CON ALTRI VAX_INI, FANNO MENO FATICA SE ANDATE VOI A FARVI AMMAZZARE INVECE DI VENIRE LORO AD AMMAZZARVI. MA TRANQUILLI, POI MORIRETE DI #nessunacorrelazione .
#ViVi #monkeypox #Agenda2030 . https://t.co/4Fz5yYn4sF https://t.co/1URCgSMJXj"
4,#monkeypox #AVAX https://t.co/1SvQhT0nqK
5,New video will be uploaded at 7:30 pm est!!! Is this Monkeypox stock the real deal? #monkeypox #outbreak #CDC #fda #epidemic
6,"@POTUS You're going to send every child (and adult) in Kentucky into #monkeypox ruin (just like the COVID ruin you're still forcing).

You're stealing $2000/month from Us all.

https://t.co/r0rhvZow1p https://t.co/2lJksBhcFF"
7,".@preglias IL VAI0L0 È LA NUOVA TRUFFA USATA PER STERMINARCI CON ALTRI VAX_INI, FANNO MENO FATICA SE ANDATE VOI A FARVI AMMAZZARE INVECE DI VENIRE LORO AD AMMAZZARVI. MA TRANQUILLI, POI MORIRETE DI #nessunacorrelazione .
#ViVi #monkeypox #Agenda2030 . https://t.co/IkSvF39Ypz https://t.co/SpPrY3YlrL"
8,"The COVID-19 pandemic and the monkeypox outbreak are quite different, but the early responses have exposed similar and disturbing shortcomings, reported The Washington Post on Saturday - #monkeypox #USA - https://t.co/trcagANddH https://t.co/BqAfIjikvO"
9,"IMPEDIAMO A QUESTI INFAMI CRIMINALI N4ZIST! DI METTERE LE MANI SUI BAMBINI, LI STANNO AMMAZZANDO AVENDO APPROVATO I V4X DOPO I 6 MESI DI VITA.
SALVIAMO I BIMBI.
#ViVi E LOTTA PER CONTRO QUESTO V4XGEN0CIDI0!
#Covid_19 #monkeypox #Agenda2030 .
https://t.co/C43yhO3XQK https://t.co/qSZvTMZP32 https://t.co/64JWv8Fvaf"
